,,Scenario,Region,Variable,Type,Year, electricity-generation-2023 ,electricity-capacity-2023
23,AlbertaGlobal Net-zeroWind2020,Global Net-zero,Alberta,Wind,Primary Fuel,2020," 5,452.61 ",1528.56
24,British ColumbiaCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2020," 3,935.20 ",979.05
25,British ColumbiaCurrent MeasuresBiomass / Geothermal2020,Current Measures,British Columbia,Biomass / Geothermal,Primary Fuel,2020," 3,935.20 ",979.05
26,British ColumbiaGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2020," 3,935.20 ",979.05
27,British ColumbiaCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2020," 63,813.67 ",15953.47
28,British ColumbiaCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2020," 63,813.67 ",15953.47
29,British ColumbiaGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2020," 63,813.67 ",15953.47
30,British ColumbiaCanada Net-zeroNatural Gas2020,Canada Net-zero,British Columbia,Natural Gas,Primary Fuel,2020," 1,171.40 ",539.73
31,British ColumbiaCurrent MeasuresNatural Gas2020,Current Measures,British Columbia,Natural Gas,Primary Fuel,2020," 1,171.40 ",539.73
32,British ColumbiaGlobal Net-zeroNatural Gas2020,Global Net-zero,British Columbia,Natural Gas,Primary Fuel,2020," 1,171.40 ",539.73
33,British ColumbiaCanada Net-zeroOil2020,Canada Net-zero,British Columbia,Oil,Primary Fuel,2020, 74.24 ,36.46
34,British ColumbiaCurrent MeasuresOil2020,Current Measures,British Columbia,Oil,Primary Fuel,2020, 74.24 ,36.46
35,British ColumbiaGlobal Net-zeroOil2020,Global Net-zero,British Columbia,Oil,Primary Fuel,2020, 74.24 ,36.46
36,British ColumbiaCanada Net-zeroSolar2020,Canada Net-zero,British Columbia,Solar,Primary Fuel,2020, 26.84 ,303.281
37,British ColumbiaCurrent MeasuresSolar2020,Current Measures,British Columbia,Solar,Primary Fuel,2020, 26.84 ,303.281
38,British ColumbiaGlobal Net-zeroSolar2020,Global Net-zero,British Columbia,Solar,Primary Fuel,2020, 26.84 ,303.281
39,British ColumbiaCanada Net-zeroUranium2020,Canada Net-zero,British Columbia,Uranium,Primary Fuel,2020, -   ,0
40,British ColumbiaGlobal Net-zeroUranium2020,Global Net-zero,British Columbia,Uranium,Primary Fuel,2020, -   ,0
41,British ColumbiaCanada Net-zeroWind2020,Canada Net-zero,British Columbia,Wind,Primary Fuel,2020," 3,008.28 ",702.25
42,British ColumbiaCurrent MeasuresWind2020,Current Measures,British Columbia,Wind,Primary Fuel,2020," 3,008.28 ",702.25
43,British ColumbiaGlobal Net-zeroWind2020,Global Net-zero,British Columbia,Wind,Primary Fuel,2020," 3,008.28 ",702.25
44,ManitobaCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2020, 79.90 ,22
45,ManitobaCurrent MeasuresBiomass / Geothermal2020,Current Measures,Manitoba,Biomass / Geothermal,Primary Fuel,2020, 79.90 ,22
46,ManitobaGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2020, 79.90 ,22
47,ManitobaCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2020," 36,141.96 ",5372.69
48,ManitobaCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2020," 36,141.96 ",5372.69
49,ManitobaGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2020," 36,141.96 ",5372.69
50,ManitobaCanada Net-zeroNatural Gas2020,Canada Net-zero,Manitoba,Natural Gas,Primary Fuel,2020, 20.93 ,402.61
51,ManitobaCurrent MeasuresNatural Gas2020,Current Measures,Manitoba,Natural Gas,Primary Fuel,2020, 20.93 ,402.61
52,ManitobaGlobal Net-zeroNatural Gas2020,Global Net-zero,Manitoba,Natural Gas,Primary Fuel,2020, 20.93 ,402.61
53,ManitobaCanada Net-zeroOil2020,Canada Net-zero,Manitoba,Oil,Primary Fuel,2020, 16.41 ,37.31
54,ManitobaCurrent MeasuresOil2020,Current Measures,Manitoba,Oil,Primary Fuel,2020, 16.41 ,37.31
55,ManitobaGlobal Net-zeroOil2020,Global Net-zero,Manitoba,Oil,Primary Fuel,2020, 16.41 ,37.31
56,ManitobaCanada Net-zeroSolar2020,Canada Net-zero,Manitoba,Solar,Primary Fuel,2020, 8.35 ,6
57,ManitobaCurrent MeasuresSolar2020,Current Measures,Manitoba,Solar,Primary Fuel,2020, 8.35 ,6
58,ManitobaGlobal Net-zeroSolar2020,Global Net-zero,Manitoba,Solar,Primary Fuel,2020, 8.35 ,6
59,ManitobaCanada Net-zeroUranium2020,Canada Net-zero,Manitoba,Uranium,Primary Fuel,2020, -   ,0
60,ManitobaGlobal Net-zeroUranium2020,Global Net-zero,Manitoba,Uranium,Primary Fuel,2020, -   ,0
61,ManitobaCanada Net-zeroWind2020,Canada Net-zero,Manitoba,Wind,Primary Fuel,2020, 938.85 ,258.65
62,ManitobaCurrent MeasuresWind2020,Current Measures,Manitoba,Wind,Primary Fuel,2020, 938.85 ,258.65
63,ManitobaGlobal Net-zeroWind2020,Global Net-zero,Manitoba,Wind,Primary Fuel,2020, 938.85 ,258.65
64,New BrunswickCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,New Brunswick,Biomass / Geothermal,Primary Fuel,2020, 561.55 ,79.2
65,New BrunswickCurrent MeasuresBiomass / Geothermal2020,Current Measures,New Brunswick,Biomass / Geothermal,Primary Fuel,2020, 561.55 ,79.2
66,New BrunswickGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,New Brunswick,Biomass / Geothermal,Primary Fuel,2020, 561.55 ,79.2
67,New BrunswickCanada Net-zeroCoal & Coke2020,Canada Net-zero,New Brunswick,Coal & Coke,Primary Fuel,2020," 1,171.18 ",541
68,New BrunswickCurrent MeasuresCoal & Coke2020,Current Measures,New Brunswick,Coal & Coke,Primary Fuel,2020," 1,171.18 ",541
69,New BrunswickGlobal Net-zeroCoal & Coke2020,Global Net-zero,New Brunswick,Coal & Coke,Primary Fuel,2020," 1,171.18 ",541
70,New BrunswickCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2020," 2,571.99 ",960.98
71,New BrunswickCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2020," 2,571.99 ",960.98
72,New BrunswickGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2020," 2,571.99 ",960.98
73,New BrunswickCanada Net-zeroNatural Gas2020,Canada Net-zero,New Brunswick,Natural Gas,Primary Fuel,2020," 1,347.39 ",550
74,New BrunswickCurrent MeasuresNatural Gas2020,Current Measures,New Brunswick,Natural Gas,Primary Fuel,2020," 1,347.39 ",550
75,New BrunswickGlobal Net-zeroNatural Gas2020,Global Net-zero,New Brunswick,Natural Gas,Primary Fuel,2020," 1,347.39 ",550
76,New BrunswickCanada Net-zeroOil2020,Canada Net-zero,New Brunswick,Oil,Primary Fuel,2020, 40.71 ,1593.04
77,New BrunswickCurrent MeasuresOil2020,Current Measures,New Brunswick,Oil,Primary Fuel,2020, 40.71 ,1593.04
78,New BrunswickGlobal Net-zeroOil2020,Global Net-zero,New Brunswick,Oil,Primary Fuel,2020, 40.71 ,1593.04
79,New BrunswickCanada Net-zeroSolar2020,Canada Net-zero,New Brunswick,Solar,Primary Fuel,2020, 1.65 ,0.162
80,New BrunswickCurrent MeasuresSolar2020,Current Measures,New Brunswick,Solar,Primary Fuel,2020, 1.65 ,0.162
81,New BrunswickGlobal Net-zeroSolar2020,Global Net-zero,New Brunswick,Solar,Primary Fuel,2020, 1.65 ,0.162
82,New BrunswickCanada Net-zeroUranium2020,Canada Net-zero,New Brunswick,Uranium,Primary Fuel,2020," 4,800.48 ",705
83,New BrunswickCurrent MeasuresUranium2020,Current Measures,New Brunswick,Uranium,Primary Fuel,2020," 4,800.48 ",705
84,New BrunswickGlobal Net-zeroUranium2020,Global Net-zero,New Brunswick,Uranium,Primary Fuel,2020," 4,800.48 ",705
85,New BrunswickCanada Net-zeroWind2020,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2020, 903.02 ,294
86,New BrunswickCurrent MeasuresWind2020,Current Measures,New Brunswick,Wind,Primary Fuel,2020, 903.02 ,294
87,New BrunswickGlobal Net-zeroWind2020,Global Net-zero,New Brunswick,Wind,Primary Fuel,2020, 903.02 ,294
88,Newfoundland and LabradorCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2020," 38,146.83 ",6783.061
89,Newfoundland and LabradorCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2020," 38,146.83 ",6783.061
90,Newfoundland and LabradorGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2020," 38,146.83 ",6783.061
91,Newfoundland and LabradorCanada Net-zeroNatural Gas2020,Canada Net-zero,Newfoundland and Labrador,Natural Gas,Primary Fuel,2020, 250.41 ,251.5
92,Newfoundland and LabradorCurrent MeasuresNatural Gas2020,Current Measures,Newfoundland and Labrador,Natural Gas,Primary Fuel,2020, 250.41 ,251.5
93,Newfoundland and LabradorGlobal Net-zeroNatural Gas2020,Global Net-zero,Newfoundland and Labrador,Natural Gas,Primary Fuel,2020, 250.41 ,251.5
94,Newfoundland and LabradorCanada Net-zeroOil2020,Canada Net-zero,Newfoundland and Labrador,Oil,Primary Fuel,2020, 868.53 ,769.55
95,Newfoundland and LabradorCurrent MeasuresOil2020,Current Measures,Newfoundland and Labrador,Oil,Primary Fuel,2020, 868.53 ,769.55
96,Newfoundland and LabradorGlobal Net-zeroOil2020,Global Net-zero,Newfoundland and Labrador,Oil,Primary Fuel,2020, 868.53 ,769.55
97,Newfoundland and LabradorCanada Net-zeroSolar2020,Canada Net-zero,Newfoundland and Labrador,Solar,Primary Fuel,2020, 1.17 ,0.015
98,Newfoundland and LabradorCurrent MeasuresSolar2020,Current Measures,Newfoundland and Labrador,Solar,Primary Fuel,2020, 1.17 ,0.015
99,Newfoundland and LabradorGlobal Net-zeroSolar2020,Global Net-zero,Newfoundland and Labrador,Solar,Primary Fuel,2020, 1.17 ,0.015
100,Newfoundland and LabradorCanada Net-zeroWind2020,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2020, 194.50 ,54.3
101,Newfoundland and LabradorCurrent MeasuresWind2020,Current Measures,Newfoundland and Labrador,Wind,Primary Fuel,2020, 194.50 ,54.3
102,Newfoundland and LabradorGlobal Net-zeroWind2020,Global Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2020, 194.50 ,54.3
103,Nova ScotiaCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2020, 259.33 ,112.56
104,Nova ScotiaCurrent MeasuresBiomass / Geothermal2020,Current Measures,Nova Scotia,Biomass / Geothermal,Primary Fuel,2020, 259.33 ,112.56
105,Nova ScotiaGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2020, 259.33 ,112.56
106,Nova ScotiaCanada Net-zeroCoal & Coke2020,Canada Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2020," 4,432.64 ",1133
107,Nova ScotiaCurrent MeasuresCoal & Coke2020,Current Measures,Nova Scotia,Coal & Coke,Primary Fuel,2020," 4,432.64 ",1133
108,Nova ScotiaGlobal Net-zeroCoal & Coke2020,Global Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2020," 4,432.64 ",1133
109,Nova ScotiaCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2020, 756.14 ,389.35
110,Nova ScotiaCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2020, 756.14 ,389.35
111,Nova ScotiaGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2020, 756.14 ,389.35
112,Nova ScotiaCanada Net-zeroNatural Gas2020,Canada Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2020," 1,663.49 ",378
113,Nova ScotiaCurrent MeasuresNatural Gas2020,Current Measures,Nova Scotia,Natural Gas,Primary Fuel,2020," 1,663.49 ",378
114,Nova ScotiaGlobal Net-zeroNatural Gas2020,Global Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2020," 1,663.49 ",378
115,Nova ScotiaCanada Net-zeroOil2020,Canada Net-zero,Nova Scotia,Oil,Primary Fuel,2020, 35.00 ,222.3
116,Nova ScotiaCurrent MeasuresOil2020,Current Measures,Nova Scotia,Oil,Primary Fuel,2020, 35.00 ,222.3
117,Nova ScotiaGlobal Net-zeroOil2020,Global Net-zero,Nova Scotia,Oil,Primary Fuel,2020, 35.00 ,222.3
118,Nova ScotiaCanada Net-zeroSolar2020,Canada Net-zero,Nova Scotia,Solar,Primary Fuel,2020, 1.87 ,0.365
119,Nova ScotiaCurrent MeasuresSolar2020,Current Measures,Nova Scotia,Solar,Primary Fuel,2020, 1.87 ,0.365
120,Nova ScotiaGlobal Net-zeroSolar2020,Global Net-zero,Nova Scotia,Solar,Primary Fuel,2020, 1.87 ,0.365
121,Nova ScotiaCanada Net-zeroWind2020,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2020, 925.45 ,603.18
122,Nova ScotiaCurrent MeasuresWind2020,Current Measures,Nova Scotia,Wind,Primary Fuel,2020, 925.45 ,603.18
123,Nova ScotiaGlobal Net-zeroWind2020,Global Net-zero,Nova Scotia,Wind,Primary Fuel,2020, 925.45 ,603.18
124,Northwest TerritoriesCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2020, 247.64 ,55.48
125,Northwest TerritoriesCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2020, 247.64 ,55.48
126,Northwest TerritoriesGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2020, 247.64 ,55.48
127,Northwest TerritoriesCanada Net-zeroNatural Gas2020,Canada Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2020, 80.18 ,7.8
128,Northwest TerritoriesCurrent MeasuresNatural Gas2020,Current Measures,Northwest Territories,Natural Gas,Primary Fuel,2020, 80.18 ,7.8
129,Northwest TerritoriesGlobal Net-zeroNatural Gas2020,Global Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2020, 80.18 ,7.8
130,Northwest TerritoriesCanada Net-zeroOil2020,Canada Net-zero,Northwest Territories,Oil,Primary Fuel,2020, 35.09 ,159
131,Northwest TerritoriesCurrent MeasuresOil2020,Current Measures,Northwest Territories,Oil,Primary Fuel,2020, 35.09 ,159
132,Northwest TerritoriesGlobal Net-zeroOil2020,Global Net-zero,Northwest Territories,Oil,Primary Fuel,2020, 35.09 ,159
133,Northwest TerritoriesCanada Net-zeroSolar2020,Canada Net-zero,Northwest Territories,Solar,Primary Fuel,2020, 1.78 ,2.015
134,Northwest TerritoriesCurrent MeasuresSolar2020,Current Measures,Northwest Territories,Solar,Primary Fuel,2020, 1.78 ,2.015
135,Northwest TerritoriesGlobal Net-zeroSolar2020,Global Net-zero,Northwest Territories,Solar,Primary Fuel,2020, 1.78 ,2.015
136,Northwest TerritoriesCanada Net-zeroWind2020,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2020, 16.74 ,9.2
137,Northwest TerritoriesCurrent MeasuresWind2020,Current Measures,Northwest Territories,Wind,Primary Fuel,2020, 16.74 ,9.2
138,Northwest TerritoriesGlobal Net-zeroWind2020,Global Net-zero,Northwest Territories,Wind,Primary Fuel,2020, 16.74 ,9.2
139,NunavutCurrent MeasuresBiomass / Geothermal2020,Current Measures,Nunavut,Biomass / Geothermal,Primary Fuel,2020, -   ,0
140,NunavutCanada Net-zeroOil2020,Canada Net-zero,Nunavut,Oil,Primary Fuel,2020, 250.03 ,62.28
141,NunavutCurrent MeasuresOil2020,Current Measures,Nunavut,Oil,Primary Fuel,2020, 250.03 ,62.28
142,NunavutGlobal Net-zeroOil2020,Global Net-zero,Nunavut,Oil,Primary Fuel,2020, 250.03 ,62.28
143,NunavutCanada Net-zeroSolar2020,Canada Net-zero,Nunavut,Solar,Primary Fuel,2020, 0.56 ,0.033
144,NunavutCurrent MeasuresSolar2020,Current Measures,Nunavut,Solar,Primary Fuel,2020, 0.56 ,0.033
145,NunavutGlobal Net-zeroSolar2020,Global Net-zero,Nunavut,Solar,Primary Fuel,2020, 0.56 ,0.033
146,NunavutCanada Net-zeroWind2020,Canada Net-zero,Nunavut,Wind,Primary Fuel,2020, -   ,0
147,NunavutCurrent MeasuresWind2020,Current Measures,Nunavut,Wind,Primary Fuel,2020, -   ,0
148,NunavutGlobal Net-zeroWind2020,Global Net-zero,Nunavut,Wind,Primary Fuel,2020, -   ,0
149,OntarioCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Ontario,Biomass / Geothermal,Primary Fuel,2020," 1,100.00 ",698.62
150,OntarioCurrent MeasuresBiomass / Geothermal2020,Current Measures,Ontario,Biomass / Geothermal,Primary Fuel,2020," 1,100.00 ",698.62
151,OntarioGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Ontario,Biomass / Geothermal,Primary Fuel,2020," 1,100.00 ",698.62
152,OntarioCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Ontario,Hydro / Wave / Tidal,Primary Fuel,2020," 39,004.98 ",9263.68
153,OntarioCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Ontario,Hydro / Wave / Tidal,Primary Fuel,2020," 39,004.98 ",9263.68
154,OntarioGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Ontario,Hydro / Wave / Tidal,Primary Fuel,2020," 39,004.98 ",9263.68
155,OntarioCanada Net-zeroNatural Gas2020,Canada Net-zero,Ontario,Natural Gas,Primary Fuel,2020," 11,039.36 ",8746.41
156,OntarioCurrent MeasuresNatural Gas2020,Current Measures,Ontario,Natural Gas,Primary Fuel,2020," 11,039.36 ",8746.41
157,OntarioGlobal Net-zeroNatural Gas2020,Global Net-zero,Ontario,Natural Gas,Primary Fuel,2020," 11,039.36 ",8746.41
158,OntarioCanada Net-zeroOil2020,Canada Net-zero,Ontario,Oil,Primary Fuel,2020, 85.07 ,250.45
159,OntarioCurrent MeasuresOil2020,Current Measures,Ontario,Oil,Primary Fuel,2020, 85.07 ,250.45
160,OntarioGlobal Net-zeroOil2020,Global Net-zero,Ontario,Oil,Primary Fuel,2020, 85.07 ,250.45
161,OntarioCanada Net-zeroSolar2020,Canada Net-zero,Ontario,Solar,Primary Fuel,2020," 5,636.20 ",2669.46
162,OntarioCurrent MeasuresSolar2020,Current Measures,Ontario,Solar,Primary Fuel,2020," 5,636.20 ",2669.46
163,OntarioGlobal Net-zeroSolar2020,Global Net-zero,Ontario,Solar,Primary Fuel,2020," 5,636.20 ",2669.46
164,OntarioCanada Net-zeroUranium2020,Canada Net-zero,Ontario,Uranium,Primary Fuel,2020," 87,845.33 ",14140
165,OntarioCurrent MeasuresUranium2020,Current Measures,Ontario,Uranium,Primary Fuel,2020," 87,845.33 ",14140
166,OntarioGlobal Net-zeroUranium2020,Global Net-zero,Ontario,Uranium,Primary Fuel,2020," 87,845.33 ",14140
167,OntarioCanada Net-zeroWind2020,Canada Net-zero,Ontario,Wind,Primary Fuel,2020," 13,168.80 ",5415.45
168,OntarioCurrent MeasuresWind2020,Current Measures,Ontario,Wind,Primary Fuel,2020," 13,168.80 ",5415.45
169,OntarioGlobal Net-zeroWind2020,Global Net-zero,Ontario,Wind,Primary Fuel,2020," 13,168.80 ",5415.45
170,Prince Edward IslandCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Prince Edward Island,Biomass / Geothermal,Primary Fuel,2020, 1.51 ,2.1
171,Prince Edward IslandCurrent MeasuresBiomass / Geothermal2020,Current Measures,Prince Edward Island,Biomass / Geothermal,Primary Fuel,2020, 1.51 ,2.1
172,Prince Edward IslandGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Prince Edward Island,Biomass / Geothermal,Primary Fuel,2020, 1.51 ,2.1
173,Prince Edward IslandCanada Net-zeroOil2020,Canada Net-zero,Prince Edward Island,Oil,Primary Fuel,2020, 4.54 ,170.45
174,Prince Edward IslandCurrent MeasuresOil2020,Current Measures,Prince Edward Island,Oil,Primary Fuel,2020, 4.54 ,170.45
175,Prince Edward IslandGlobal Net-zeroOil2020,Global Net-zero,Prince Edward Island,Oil,Primary Fuel,2020, 4.54 ,170.45
176,Prince Edward IslandCanada Net-zeroSolar2020,Canada Net-zero,Prince Edward Island,Solar,Primary Fuel,2020, 0.68 ,0
177,Prince Edward IslandCurrent MeasuresSolar2020,Current Measures,Prince Edward Island,Solar,Primary Fuel,2020, 0.68 ,0
178,Prince Edward IslandGlobal Net-zeroSolar2020,Global Net-zero,Prince Edward Island,Solar,Primary Fuel,2020, 0.68 ,0
179,Prince Edward IslandCanada Net-zeroUranium2020,Canada Net-zero,Prince Edward Island,Uranium,Primary Fuel,2020, -   ,0
180,Prince Edward IslandGlobal Net-zeroUranium2020,Global Net-zero,Prince Edward Island,Uranium,Primary Fuel,2020, -   ,0
181,Prince Edward IslandCanada Net-zeroWind2020,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2020, 700.34 ,208.28
182,Prince Edward IslandCurrent MeasuresWind2020,Current Measures,Prince Edward Island,Wind,Primary Fuel,2020, 700.34 ,208.28
183,Prince Edward IslandGlobal Net-zeroWind2020,Global Net-zero,Prince Edward Island,Wind,Primary Fuel,2020, 700.34 ,208.28
184,QuebecCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Quebec,Biomass / Geothermal,Primary Fuel,2020," 1,309.41 ",307.14
185,QuebecCurrent MeasuresBiomass / Geothermal2020,Current Measures,Quebec,Biomass / Geothermal,Primary Fuel,2020," 1,309.41 ",307.14
186,QuebecGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Quebec,Biomass / Geothermal,Primary Fuel,2020," 1,309.41 ",307.14
187,QuebecCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Quebec,Hydro / Wave / Tidal,Primary Fuel,2020," 194,227.42 ",41086.87
188,QuebecCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Quebec,Hydro / Wave / Tidal,Primary Fuel,2020," 194,227.42 ",41086.87
189,QuebecGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Quebec,Hydro / Wave / Tidal,Primary Fuel,2020," 194,227.42 ",41086.87
190,QuebecCanada Net-zeroNatural Gas2020,Canada Net-zero,Quebec,Natural Gas,Primary Fuel,2020, 86.55 ,591.05
191,QuebecCurrent MeasuresNatural Gas2020,Current Measures,Quebec,Natural Gas,Primary Fuel,2020, 86.55 ,591.05
192,QuebecGlobal Net-zeroNatural Gas2020,Global Net-zero,Quebec,Natural Gas,Primary Fuel,2020, 86.55 ,591.05
193,QuebecCanada Net-zeroOil2020,Canada Net-zero,Quebec,Oil,Primary Fuel,2020, 556.76 ,311.04
194,QuebecCurrent MeasuresOil2020,Current Measures,Quebec,Oil,Primary Fuel,2020, 556.76 ,311.04
195,QuebecGlobal Net-zeroOil2020,Global Net-zero,Quebec,Oil,Primary Fuel,2020, 556.76 ,311.04
196,QuebecCanada Net-zeroSolar2020,Canada Net-zero,Quebec,Solar,Primary Fuel,2020, 30.53 ,0.297
197,QuebecCurrent MeasuresSolar2020,Current Measures,Quebec,Solar,Primary Fuel,2020, 30.53 ,0.297
198,QuebecGlobal Net-zeroSolar2020,Global Net-zero,Quebec,Solar,Primary Fuel,2020, 30.53 ,0.297
199,QuebecCanada Net-zeroUranium2020,Canada Net-zero,Quebec,Uranium,Primary Fuel,2020, -   ,0
