Scenario,Region,Variable,Year,Electricity generation,Electricity capacity
Canada Net-zero,Alberta,Uranium,2044,14426.89,2140
Global Net-zero,Alberta,Uranium,2044,4987.19,855.4
Canada Net-zero,Alberta,Wind,2044,67993.52,18127.13
Current Measures,Alberta,Wind,2044,33066.04,8131.3
Global Net-zero,Alberta,Wind,2044,49748.8,13715.41
Canada Net-zero,British Columbia,Biomass / Geothermal,2044,4119.39,1312.38
Current Measures,British Columbia,Biomass / Geothermal,2044,2372.01,1079.05
Global Net-zero,British Columbia,Biomass / Geothermal,2044,4058.05,1212.38
Canada Net-zero,British Columbia,Hydro / Wave / Tidal,2044,60947.29,17653.47
Current Measures,British Columbia,Hydro / Wave / Tidal,2044,63406.72,17303.47
Global Net-zero,British Columbia,Hydro / Wave / Tidal,2044,60977.25,17053.47
Canada Net-zero,British Columbia,Natural Gas,2044,1371.26,3822.19
Current Measures,British Columbia,Natural Gas,2044,8109.87,5650.52
Global Net-zero,British Columbia,Natural Gas,2044,2398.12,4238.71
Canada Net-zero,British Columbia,Oil,2044,0,36.46
Current Measures,British Columbia,Oil,2044,0,36.46
Global Net-zero,British Columbia,Oil,2044,0,36.46
Canada Net-zero,British Columbia,Solar,2044,13193.41,7541.19
Current Measures,British Columbia,Solar,2044,10752.64,6397.91
Global Net-zero,British Columbia,Solar,2044,10805.22,6021.08
Canada Net-zero,British Columbia,Uranium,2044,13589.31,2140
Global Net-zero,British Columbia,Uranium,2044,13917.91,2061.86
Canada Net-zero,British Columbia,Wind,2044,28791.67,8656.49
Current Measures,British Columbia,Wind,2044,22051.87,6693.73
Global Net-zero,British Columbia,Wind,2044,21142.89,6521.61
Canada Net-zero,Manitoba,Biomass / Geothermal,2044,50.35,29.06
Current Measures,Manitoba,Biomass / Geothermal,2044,1339.53,1157.5
Global Net-zero,Manitoba,Biomass / Geothermal,2044,60.99,22
Canada Net-zero,Manitoba,Hydro / Wave / Tidal,2044,49943.21,7672.69
Current Measures,Manitoba,Hydro / Wave / Tidal,2044,36829.77,6572.69
Global Net-zero,Manitoba,Hydro / Wave / Tidal,2044,49879.98,7672.69
Canada Net-zero,Manitoba,Natural Gas,2044,0,0
Current Measures,Manitoba,Natural Gas,2044,0,0
Global Net-zero,Manitoba,Natural Gas,2044,0,0
Canada Net-zero,Manitoba,Oil,2044,0,37.31
Current Measures,Manitoba,Oil,2044,0.43,37.31
Global Net-zero,Manitoba,Oil,2044,0,37.31
Canada Net-zero,Manitoba,Solar,2044,105.35,6
Current Measures,Manitoba,Solar,2044,518.98,237.67
Global Net-zero,Manitoba,Solar,2044,305.18,112
Canada Net-zero,Manitoba,Uranium,2044,12396.77,2292.79
Global Net-zero,Manitoba,Uranium,2044,9292.91,1605.32
Canada Net-zero,Manitoba,Wind,2044,1386.69,419.93
Current Measures,Manitoba,Wind,2044,5049.56,1482.09
Global Net-zero,Manitoba,Wind,2044,1408.96,417.55
Canada Net-zero,New Brunswick,Biomass / Geothermal,2044,131.57,79.2
Current Measures,New Brunswick,Biomass / Geothermal,2044,93.88,79.2
Global Net-zero,New Brunswick,Biomass / Geothermal,2044,164.05,79.2
Canada Net-zero,New Brunswick,Coal & Coke,2044,0,0
Current Measures,New Brunswick,Coal & Coke,2044,0,0
Global Net-zero,New Brunswick,Coal & Coke,2044,0,0
Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,2044,2776.56,960.98
Current Measures,New Brunswick,Hydro / Wave / Tidal,2044,2365.68,960.98
Global Net-zero,New Brunswick,Hydro / Wave / Tidal,2044,2757.87,960.98
Canada Net-zero,New Brunswick,Natural Gas,2044,0,0
Current Measures,New Brunswick,Natural Gas,2044,0,0
Global Net-zero,New Brunswick,Natural Gas,2044,0,0
Canada Net-zero,New Brunswick,Oil,2044,0,514.34
Current Measures,New Brunswick,Oil,2044,0.08,514.34
Global Net-zero,New Brunswick,Oil,2044,2.28,514.34
Canada Net-zero,New Brunswick,Solar,2044,83.29,30.16
Current Measures,New Brunswick,Solar,2044,71.86,30.16
Global Net-zero,New Brunswick,Solar,2044,249.65,130.16
Canada Net-zero,New Brunswick,Uranium,2044,9019.4,1490.89
Current Measures,New Brunswick,Uranium,2044,4985.67,679
Global Net-zero,New Brunswick,Uranium,2044,8332.73,1356.71
Canada Net-zero,New Brunswick,Wind,2044,7686.45,2282.47
Current Measures,New Brunswick,Wind,2044,10115.46,3230.85
Global Net-zero,New Brunswick,Wind,2044,8287.96,2413.12
Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2044,46337.84,7607.06
Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,2044,45326.28,7607.06
Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2044,46314.24,7607.06
Canada Net-zero,Newfoundland and Labrador,Natural Gas,2044,21.12,120
Current Measures,Newfoundland and Labrador,Natural Gas,2044,0,120
Global Net-zero,Newfoundland and Labrador,Natural Gas,2044,3.48,120
Canada Net-zero,Newfoundland and Labrador,Oil,2044,0,279.55
Current Measures,Newfoundland and Labrador,Oil,2044,0,279.55
Global Net-zero,Newfoundland and Labrador,Oil,2044,0,279.55
Canada Net-zero,Newfoundland and Labrador,Solar,2044,19.98,0.02
Current Measures,Newfoundland and Labrador,Solar,2044,13.81,0.02
Global Net-zero,Newfoundland and Labrador,Solar,2044,19.98,0.02
Canada Net-zero,Newfoundland and Labrador,Wind,2044,194.5,54.3
Current Measures,Newfoundland and Labrador,Wind,2044,194.5,54.3
Global Net-zero,Newfoundland and Labrador,Wind,2044,194.5,54.3
Canada Net-zero,Nova Scotia,Biomass / Geothermal,2044,160.11,112.56
Current Measures,Nova Scotia,Biomass / Geothermal,2044,528.65,112.56
Global Net-zero,Nova Scotia,Biomass / Geothermal,2044,162.74,112.56
Canada Net-zero,Nova Scotia,Coal & Coke,2044,0,0
Current Measures,Nova Scotia,Coal & Coke,2044,0,0
Global Net-zero,Nova Scotia,Coal & Coke,2044,0,0
Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,2044,479.19,389.35
Current Measures,Nova Scotia,Hydro / Wave / Tidal,2044,986.36,389.35
Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,2044,448.57,389.35
Canada Net-zero,Nova Scotia,Natural Gas,2044,103.83,1375.1
Current Measures,Nova Scotia,Natural Gas,2044,4402.16,1691.03
Global Net-zero,Nova Scotia,Natural Gas,2044,35.54,1000
Canada Net-zero,Nova Scotia,Oil,2044,0,222.3
Current Measures,Nova Scotia,Oil,2044,0,222.3
Global Net-zero,Nova Scotia,Oil,2044,0,222.3
Canada Net-zero,Nova Scotia,Solar,2044,29.12,0.37
Current Measures,Nova Scotia,Solar,2044,19.1,0.37
Global Net-zero,Nova Scotia,Solar,2044,125.56,100.37
Canada Net-zero,Nova Scotia,Wind,2044,24313.11,5603.18
Current Measures,Nova Scotia,Wind,2044,6936.95,1819.78
Global Net-zero,Nova Scotia,Wind,2044,24171.92,5603.18
Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,2044,616.33,135.48
Current Measures,Northwest Territories,Hydro / Wave / Tidal,2044,340.88,115.48
Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,2044,529.1,115.48
Canada Net-zero,Northwest Territories,Natural Gas,2044,41.56,10
Current Measures,Northwest Territories,Natural Gas,2044,0,10
Global Net-zero,Northwest Territories,Natural Gas,2044,35.41,10
Canada Net-zero,Northwest Territories,Oil,2044,19.04,89.2
Current Measures,Northwest Territories,Oil,2044,10.98,120
Global Net-zero,Northwest Territories,Oil,2044,11.35,89.2
Canada Net-zero,Northwest Territories,Solar,2044,61.68,42.02
Current Measures,Northwest Territories,Solar,2044,3.23,2.02
Global Net-zero,Northwest Territories,Solar,2044,34.82,22.67
Canada Net-zero,Northwest Territories,Wind,2044,59.4,32.12
Current Measures,Northwest Territories,Wind,2044,19.65,13.2
Global Net-zero,Northwest Territories,Wind,2044,24.02,13.2
Current Measures,Nunavut,Biomass / Geothermal,2044,161,28.3
Canada Net-zero,Nunavut,Oil,2044,322.05,70.28
Current Measures,Nunavut,Oil,2044,84.02,70.28
Global Net-zero,Nunavut,Oil,2044,308.56,70.28
Canada Net-zero,Nunavut,Solar,2044,45.2,40.03
Current Measures,Nunavut,Solar,2044,43.39,40.03
Global Net-zero,Nunavut,Solar,2044,45.21,40.03
Canada Net-zero,Nunavut,Wind,2044,92.29,32.07
Current Measures,Nunavut,Wind,2044,90.25,31.55
Global Net-zero,Nunavut,Wind,2044,92.19,31.39
Canada Net-zero,Ontario,Biomass / Geothermal,2044,8108.91,2594.78
Current Measures,Ontario,Biomass / Geothermal,2044,1869.92,698.62
Global Net-zero,Ontario,Biomass / Geothermal,2044,3956.08,931.95
Canada Net-zero,Ontario,Hydro / Wave / Tidal,2044,40990.69,10263.68
Current Measures,Ontario,Hydro / Wave / Tidal,2044,37244.55,9263.68
Global Net-zero,Ontario,Hydro / Wave / Tidal,2044,41602.41,10263.68
Canada Net-zero,Ontario,Natural Gas,2044,19049.63,27003.94
Current Measures,Ontario,Natural Gas,2044,10350.56,18358.58
Global Net-zero,Ontario,Natural Gas,2044,27424.11,29874.14
Canada Net-zero,Ontario,Oil,2044,0,228.45
Current Measures,Ontario,Oil,2044,0,228.45
Global Net-zero,Ontario,Oil,2044,0,228.45
Canada Net-zero,Ontario,Solar,2044,15093.25,5414.81
Current Measures,Ontario,Solar,2044,13715.97,5003.78
Global Net-zero,Ontario,Solar,2044,15986.72,5869.46
Canada Net-zero,Ontario,Uranium,2044,162846.28,23719
Current Measures,Ontario,Uranium,2044,83221.42,11200
Global Net-zero,Ontario,Uranium,2044,166502.75,23261.86
Canada Net-zero,Ontario,Wind,2044,177377.16,44923.26
Current Measures,Ontario,Wind,2044,77299.86,23152.46
Global Net-zero,Ontario,Wind,2044,151115.82,37551.23
Canada Net-zero,Prince Edward Island,Biomass / Geothermal,2044,2.48,2.1
Current Measures,Prince Edward Island,Biomass / Geothermal,2044,7.96,2.1
Global Net-zero,Prince Edward Island,Biomass / Geothermal,2044,3.42,2.1
Canada Net-zero,Prince Edward Island,Oil,2044,0,40.45
Current Measures,Prince Edward Island,Oil,2044,6.71,40.45
Global Net-zero,Prince Edward Island,Oil,2044,0,40.45
Canada Net-zero,Prince Edward Island,Solar,2044,101.15,61.97
Current Measures,Prince Edward Island,Solar,2044,64.97,41.07
Global Net-zero,Prince Edward Island,Solar,2044,112.19,67.28
Canada Net-zero,Prince Edward Island,Uranium,2044,2526.72,392.91
Global Net-zero,Prince Edward Island,Uranium,2044,2346.38,362.5
Canada Net-zero,Prince Edward Island,Wind,2044,1557.14,419.34
Current Measures,Prince Edward Island,Wind,2044,2718.62,787.18
Global Net-zero,Prince Edward Island,Wind,2044,1441.82,383.8
Canada Net-zero,Quebec,Biomass / Geothermal,2044,1638.88,326.39
Current Measures,Quebec,Biomass / Geothermal,2044,20937.66,11415.82
Global Net-zero,Quebec,Biomass / Geothermal,2044,1670.3,326.39
Canada Net-zero,Quebec,Hydro / Wave / Tidal,2044,265951.17,45986.87
Current Measures,Quebec,Hydro / Wave / Tidal,2044,248182.63,43486.87
Global Net-zero,Quebec,Hydro / Wave / Tidal,2044,263761.02,45986.87
Canada Net-zero,Quebec,Natural Gas,2044,0,0
Current Measures,Quebec,Natural Gas,2044,0,0
Global Net-zero,Quebec,Natural Gas,2044,0,0
Canada Net-zero,Quebec,Oil,2044,321.65,244
Current Measures,Quebec,Oil,2044,320.62,244
Global Net-zero,Quebec,Oil,2044,321.24,244
Canada Net-zero,Quebec,Solar,2044,699.69,0.3
Current Measures,Quebec,Solar,2044,350.04,0.3
Global Net-zero,Quebec,Solar,2044,1345.29,420.3
Canada Net-zero,Quebec,Uranium,2044,19257.83,2931.58
Global Net-zero,Quebec,Uranium,2044,15855.72,2610.1
Canada Net-zero,Quebec,Wind,2044,22267.88,6128.07
Current Measures,Quebec,Wind,2044,34295.57,10197.78
Global Net-zero,Quebec,Wind,2044,18399.59,5519
Canada Net-zero,Saskatchewan,Biomass / Geothermal,2044,13956.41,1791.56
Current Measures,Saskatchewan,Biomass / Geothermal,2044,218.44,36
Global Net-zero,Saskatchewan,Biomass / Geothermal,2044,13973.36,1791.56
Canada Net-zero,Saskatchewan,Coal & Coke,2044,0,0
Current Measures,Saskatchewan,Coal & Coke,2044,654.81,115
Global Net-zero,Saskatchewan,Coal & Coke,2044,0,0
Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,2044,4152.25,989.06
Current Measures,Saskatchewan,Hydro / Wave / Tidal,2044,3933.97,989.06
Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,2044,4143.19,939.06
Canada Net-zero,Saskatchewan,Natural Gas,2044,1368.92,2873.32
Current Measures,Saskatchewan,Natural Gas,2044,8171.27,4541.93
Global Net-zero,Saskatchewan,Natural Gas,2044,2536.92,2909.02
Canada Net-zero,Saskatchewan,Oil,2044,0,16.96
Current Measures,Saskatchewan,Oil,2044,0,16.96
Global Net-zero,Saskatchewan,Oil,2044,0,16.96
Canada Net-zero,Saskatchewan,Solar,2044,3289.84,1466.82
Current Measures,Saskatchewan,Solar,2044,5885.28,2769.24
Global Net-zero,Saskatchewan,Solar,2044,2070.09,826.3
Canada Net-zero,Saskatchewan,Uranium,2044,6515.46,1070
Global Net-zero,Saskatchewan,Uranium,2044,6713.74,1030.93
Canada Net-zero,Saskatchewan,Wind,2044,20522.97,5447.34
Current Measures,Saskatchewan,Wind,2044,15973.71,4290.85
Global Net-zero,Saskatchewan,Wind,2044,15378.38,4122.46
Canada Net-zero,Yukon,Biomass / Geothermal,2044,17.06,43.93
Current Measures,Yukon,Biomass / Geothermal,2044,5.44,36.73
Global Net-zero,Yukon,Biomass / Geothermal,2044,8.05,40.56
Canada Net-zero,Yukon,Hydro / Wave / Tidal,2044,462.06,104.5
Current Measures,Yukon,Hydro / Wave / Tidal,2044,456.17,104.5
Global Net-zero,Yukon,Hydro / Wave / Tidal,2044,460.02,104.5
Canada Net-zero,Yukon,Natural Gas,2044,141.81,19.8
Current Measures,Yukon,Natural Gas,2044,74.88,19.8
Global Net-zero,Yukon,Natural Gas,2044,130.48,19.8
Canada Net-zero,Yukon,Oil,2044,91.35,23.57
Current Measures,Yukon,Oil,2044,22.33,23.57
Global Net-zero,Yukon,Oil,2044,77.2,23.57
Canada Net-zero,Yukon,Solar,2044,61.48,40.04
Current Measures,Yukon,Solar,2044,33.8,22.02
Global Net-zero,Yukon,Solar,2044,61.48,40.04
Canada Net-zero,Yukon,Wind,2044,51.14,37.77
Current Measures,Yukon,Wind,2044,14.57,10.97
Global Net-zero,Yukon,Wind,2044,52.3,37.13
Canada Net-zero,Alberta,Biomass / Geothermal,2045,18894.63,2568.98
Current Measures,Alberta,Biomass / Geothermal,2045,266.37,285.65
Global Net-zero,Alberta,Biomass / Geothermal,2045,18907.7,2568.98
Canada Net-zero,Alberta,Coal & Coke,2045,0,0
Current Measures,Alberta,Coal & Coke,2045,0,0
Global Net-zero,Alberta,Coal & Coke,2045,0,0
Canada Net-zero,Alberta,Hydro / Wave / Tidal,2045,1304.11,894.35
Current Measures,Alberta,Hydro / Wave / Tidal,2045,1650.08,894.35
Global Net-zero,Alberta,Hydro / Wave / Tidal,2045,1284.21,894.35
Canada Net-zero,Alberta,Natural Gas,2045,23315.79,10207.17
Current Measures,Alberta,Natural Gas,2045,70066.78,14204.99
Global Net-zero,Alberta,Natural Gas,2045,20334.89,8631.58
Canada Net-zero,Alberta,Oil,2045,0,7.15
Current Measures,Alberta,Oil,2045,0,7.15
Global Net-zero,Alberta,Oil,2045,0,7.15
Canada Net-zero,Alberta,Solar,2045,27667.18,13480.22
Current Measures,Alberta,Solar,2045,9231.53,4085.48
Global Net-zero,Alberta,Solar,2045,24938.97,12249.16
Canada Net-zero,Alberta,Uranium,2045,14338.45,2140
Global Net-zero,Alberta,Uranium,2045,6056.1,1060.4
Canada Net-zero,Alberta,Wind,2045,68549.08,18287
Current Measures,Alberta,Wind,2045,37788.53,9226.99
Global Net-zero,Alberta,Wind,2045,50018,13809.62
Canada Net-zero,British Columbia,Biomass / Geothermal,2045,4276.33,1329.05
Current Measures,British Columbia,Biomass / Geothermal,2045,2310.36,1079.05
Global Net-zero,British Columbia,Biomass / Geothermal,2045,4073.46,1229.05
Canada Net-zero,British Columbia,Hydro / Wave / Tidal,2045,60772.5,17803.47
Current Measures,British Columbia,Hydro / Wave / Tidal,2045,63157.51,17303.47
Global Net-zero,British Columbia,Hydro / Wave / Tidal,2045,60713.65,17053.47
Canada Net-zero,British Columbia,Natural Gas,2045,1333.45,3883.15
Current Measures,British Columbia,Natural Gas,2045,7695.29,5792.84
Global Net-zero,British Columbia,Natural Gas,2045,2535.63,4597.74
Canada Net-zero,British Columbia,Oil,2045,0,36.46
Current Measures,British Columbia,Oil,2045,0,36.46
Global Net-zero,British Columbia,Oil,2045,0,36.46
Canada Net-zero,British Columbia,Solar,2045,14261.04,8198.49
Current Measures,British Columbia,Solar,2045,11471.87,6822.76
Global Net-zero,British Columbia,Solar,2045,11614.86,6508.28
Canada Net-zero,British Columbia,Uranium,2045,13450.39,2140
Global Net-zero,British Columbia,Uranium,2045,13649.38,2061.86
Canada Net-zero,British Columbia,Wind,2045,30848.19,9249.04
Current Measures,British Columbia,Wind,2045,23698.91,7170.34
Global Net-zero,British Columbia,Wind,2045,22242.4,6841.42
Canada Net-zero,Manitoba,Biomass / Geothermal,2045,50.03,29.06
Current Measures,Manitoba,Biomass / Geothermal,2045,1406.88,1204.54
Global Net-zero,Manitoba,Biomass / Geothermal,2045,56.62,22
Canada Net-zero,Manitoba,Hydro / Wave / Tidal,2045,49915.72,7672.69
Current Measures,Manitoba,Hydro / Wave / Tidal,2045,36718.66,6572.69
Global Net-zero,Manitoba,Hydro / Wave / Tidal,2045,49799.24,7672.69
Canada Net-zero,Manitoba,Natural Gas,2045,0,0
Current Measures,Manitoba,Natural Gas,2045,0,0
Global Net-zero,Manitoba,Natural Gas,2045,0,0
Canada Net-zero,Manitoba,Oil,2045,0,37.31
Current Measures,Manitoba,Oil,2045,0.37,37.31
Global Net-zero,Manitoba,Oil,2045,0,37.31
Canada Net-zero,Manitoba,Solar,2045,106.84,6
Current Measures,Manitoba,Solar,2045,635.07,295.59
Global Net-zero,Manitoba,Solar,2045,334.37,126
Canada Net-zero,Manitoba,Uranium,2045,13313.02,2447.21
Global Net-zero,Manitoba,Uranium,2045,10110.77,1743.1
Canada Net-zero,Manitoba,Wind,2045,1387.87,419.93
Current Measures,Manitoba,Wind,2045,5247.41,1532.74
Global Net-zero,Manitoba,Wind,2045,1405.8,417.55
Canada Net-zero,New Brunswick,Biomass / Geothermal,2045,131.74,79.2
Current Measures,New Brunswick,Biomass / Geothermal,2045,93.57,79.2
Global Net-zero,New Brunswick,Biomass / Geothermal,2045,168.19,79.2
Canada Net-zero,New Brunswick,Coal & Coke,2045,0,0
Current Measures,New Brunswick,Coal & Coke,2045,0,0
Global Net-zero,New Brunswick,Coal & Coke,2045,0,0
Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,2045,2804.48,960.98
Current Measures,New Brunswick,Hydro / Wave / Tidal,2045,2339.7,960.98
Global Net-zero,New Brunswick,Hydro / Wave / Tidal,2045,2788.96,960.98
Canada Net-zero,New Brunswick,Natural Gas,2045,0,0
Current Measures,New Brunswick,Natural Gas,2045,0,0
Global Net-zero,New Brunswick,Natural Gas,2045,0,0
Canada Net-zero,New Brunswick,Oil,2045,3.44,514.34
Current Measures,New Brunswick,Oil,2045,0.06,514.34
Global Net-zero,New Brunswick,Oil,2045,5.13,514.34
Canada Net-zero,New Brunswick,Solar,2045,85.1,30.16
Current Measures,New Brunswick,Solar,2045,72.56,30.16
Global Net-zero,New Brunswick,Solar,2045,249.94,130.16
Canada Net-zero,New Brunswick,Uranium,2045,9283.5,1525.77
Current Measures,New Brunswick,Uranium,2045,4977.14,679
Global Net-zero,New Brunswick,Uranium,2045,8310.96,1356.71
Canada Net-zero,New Brunswick,Wind,2045,7728.05,2289.71
Current Measures,New Brunswick,Wind,2045,10166,3275.02
Global Net-zero,New Brunswick,Wind,2045,8420,2444.78
Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2045,46400.4,7607.06
Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,2045,45359.13,7607.06
Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,2045,46400.14,7607.06
Canada Net-zero,Newfoundland and Labrador,Natural Gas,2045,21.12,120
Current Measures,Newfoundland and Labrador,Natural Gas,2045,0,120
Global Net-zero,Newfoundland and Labrador,Natural Gas,2045,3.48,120
Canada Net-zero,Newfoundland and Labrador,Oil,2045,2.33,279.55
Current Measures,Newfoundland and Labrador,Oil,2045,0,279.55
Global Net-zero,Newfoundland and Labrador,Oil,2045,0,279.55
Canada Net-zero,Newfoundland and Labrador,Solar,2045,20.66,0.02
Current Measures,Newfoundland and Labrador,Solar,2045,14.39,0.02
Global Net-zero,Newfoundland and Labrador,Solar,2045,20.66,0.02
Canada Net-zero,Newfoundland and Labrador,Wind,2045,194.5,54.3
Current Measures,Newfoundland and Labrador,Wind,2045,194.5,54.3
Global Net-zero,Newfoundland and Labrador,Wind,2045,194.5,54.3
Canada Net-zero,Nova Scotia,Biomass / Geothermal,2045,171.88,112.56
Current Measures,Nova Scotia,Biomass / Geothermal,2045,506.01,112.56
Global Net-zero,Nova Scotia,Biomass / Geothermal,2045,173.45,112.56
Canada Net-zero,Nova Scotia,Coal & Coke,2045,0,0
Current Measures,Nova Scotia,Coal & Coke,2045,0,0
Global Net-zero,Nova Scotia,Coal & Coke,2045,0,0
Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,2045,491.25,389.35
Current Measures,Nova Scotia,Hydro / Wave / Tidal,2045,983.47,389.35
Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,2045,476.84,389.35
Canada Net-zero,Nova Scotia,Natural Gas,2045,105.55,1375.1
Current Measures,Nova Scotia,Natural Gas,2045,4273.75,1691.03
Global Net-zero,Nova Scotia,Natural Gas,2045,35.58,1000
Canada Net-zero,Nova Scotia,Oil,2045,0,222.3
Current Measures,Nova Scotia,Oil,2045,0,222.3
Global Net-zero,Nova Scotia,Oil,2045,0,222.3
Canada Net-zero,Nova Scotia,Solar,2045,31.3,0.37
Current Measures,Nova Scotia,Solar,2045,92.65,41.09
Global Net-zero,Nova Scotia,Solar,2045,163.45,120.37
Canada Net-zero,Nova Scotia,Wind,2045,24464.89,5603.18
Current Measures,Nova Scotia,Wind,2045,7503.53,1959.54
Global Net-zero,Nova Scotia,Wind,2045,24310.65,5603.18
Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,2045,608.21,135.48
Current Measures,Northwest Territories,Hydro / Wave / Tidal,2045,341.91,115.48
Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,2045,510.51,115.48
Canada Net-zero,Northwest Territories,Natural Gas,2045,35.92,10
Current Measures,Northwest Territories,Natural Gas,2045,0,10
Global Net-zero,Northwest Territories,Natural Gas,2045,24.8,10
Canada Net-zero,Northwest Territories,Oil,2045,16.78,89.2
Current Measures,Northwest Territories,Oil,2045,10.98,120
Global Net-zero,Northwest Territories,Oil,2045,9.55,89.2
Canada Net-zero,Northwest Territories,Solar,2045,61.69,42.02
Current Measures,Northwest Territories,Solar,2045,3.23,2.02
Global Net-zero,Northwest Territories,Solar,2045,64.08,40.86
Canada Net-zero,Northwest Territories,Wind,2045,78.9,41.74
Current Measures,Northwest Territories,Wind,2045,19.93,13.2
Global Net-zero,Northwest Territories,Wind,2045,37.86,19.84
Current Measures,Nunavut,Biomass / Geothermal,2045,167.14,29.08
Canada Net-zero,Nunavut,Oil,2045,332.39,70.28
Current Measures,Nunavut,Oil,2045,83.97,70.28
Global Net-zero,Nunavut,Oil,2045,317.98,70.28
Canada Net-zero,Nunavut,Solar,2045,45.33,40.03
Current Measures,Nunavut,Solar,2045,43.46,40.03
Global Net-zero,Nunavut,Solar,2045,45.25,40.03
Canada Net-zero,Nunavut,Wind,2045,92.24,32.07
Current Measures,Nunavut,Wind,2045,90.66,31.55
Global Net-zero,Nunavut,Wind,2045,92.22,31.39
Canada Net-zero,Ontario,Biomass / Geothermal,2045,9489.94,3027.15
Current Measures,Ontario,Biomass / Geothermal,2045,1860.69,698.62
Global Net-zero,Ontario,Biomass / Geothermal,2045,4096.51,948.62
Canada Net-zero,Ontario,Hydro / Wave / Tidal,2045,40664.93,10263.68
Current Measures,Ontario,Hydro / Wave / Tidal,2045,37213.82,9263.68
Global Net-zero,Ontario,Hydro / Wave / Tidal,2045,41263.72,10263.68
Canada Net-zero,Ontario,Natural Gas,2045,20429.05,27898.23
Current Measures,Ontario,Natural Gas,2045,10610.64,17750.99
Global Net-zero,Ontario,Natural Gas,2045,30001.79,31119.86
Canada Net-zero,Ontario,Oil,2045,0,228.45
Current Measures,Ontario,Oil,2045,0,228.45
Global Net-zero,Ontario,Oil,2045,0,228.45
Canada Net-zero,Ontario,Solar,2045,16220.88,6014.46
Current Measures,Ontario,Solar,2045,14951.9,5587.36
Global Net-zero,Ontario,Solar,2045,17005.06,6369.46
Canada Net-zero,Ontario,Uranium,2045,161915.63,23719
Current Measures,Ontario,Uranium,2045,82868.98,11200
Global Net-zero,Ontario,Uranium,2045,164889.79,23261.86
Canada Net-zero,Ontario,Wind,2045,191239.02,48734.06
Current Measures,Ontario,Wind,2045,80594.54,24123.28
Global Net-zero,Ontario,Wind,2045,165502.38,41226.28
Canada Net-zero,Prince Edward Island,Biomass / Geothermal,2045,2.54,2.1
Current Measures,Prince Edward Island,Biomass / Geothermal,2045,94.31,32.71
Global Net-zero,Prince Edward Island,Biomass / Geothermal,2045,3.41,2.1
Canada Net-zero,Prince Edward Island,Oil,2045,0,40.45
Current Measures,Prince Edward Island,Oil,2045,0.79,40.45
Global Net-zero,Prince Edward Island,Oil,2045,0,40.45
Canada Net-zero,Prince Edward Island,Solar,2045,101.24,61.97
Current Measures,Prince Edward Island,Solar,2045,108.55,65.67
Global Net-zero,Prince Edward Island,Solar,2045,112.3,67.28
Canada Net-zero,Prince Edward Island,Uranium,2045,2695.76,420.81
Global Net-zero,Prince Edward Island,Uranium,2045,2524.51,388.31
Canada Net-zero,Prince Edward Island,Wind,2045,1557.79,419.34
Current Measures,Prince Edward Island,Wind,2045,2752.52,799.53
Global Net-zero,Prince Edward Island,Wind,2045,1441.96,383.8
Canada Net-zero,Quebec,Biomass / Geothermal,2045,1637.9,326.39
Current Measures,Quebec,Biomass / Geothermal,2045,21293.54,11631.16
Global Net-zero,Quebec,Biomass / Geothermal,2045,1661.44,326.39
Canada Net-zero,Quebec,Hydro / Wave / Tidal,2045,266146.11,45986.87
Current Measures,Quebec,Hydro / Wave / Tidal,2045,248414.9,43486.87
Global Net-zero,Quebec,Hydro / Wave / Tidal,2045,263410.42,45986.87
Canada Net-zero,Quebec,Natural Gas,2045,0,0
Current Measures,Quebec,Natural Gas,2045,0,0
Global Net-zero,Quebec,Natural Gas,2045,0,0
Canada Net-zero,Quebec,Oil,2045,321.24,244
Current Measures,Quebec,Oil,2045,320.62,244
Global Net-zero,Quebec,Oil,2045,321.09,244
Canada Net-zero,Quebec,Solar,2045,728.82,0.3
Current Measures,Quebec,Solar,2045,364.61,0.3
Global Net-zero,Quebec,Solar,2045,1470.79,480.3
Canada Net-zero,Quebec,Uranium,2045,19532.74,3000
Global Net-zero,Quebec,Uranium,2045,17863.26,3000
Canada Net-zero,Quebec,Wind,2045,22810.09,6263.17
Current Measures,Quebec,Wind,2045,34697.06,10305.05
Global Net-zero,Quebec,Wind,2045,18399.59,5519
Canada Net-zero,Saskatchewan,Biomass / Geothermal,2045,15004.36,1924.89
